Region,Sub Region,Country,Year,Count,Rate
Europe,Southern Europe,Serbia,2015,1690,19.09328368
Europe,Southern Europe,Slovenia,2015,775,37.35321392
Europe,Southern Europe,Spain,2015,31137,67.10898204
Europe,Western Europe,Austria,2015,9743,112.2639136
Europe,Western Europe,Belgium,2015,14840,131.4677435
Europe,Western Europe,France,2015,168072,260.7497648
Europe,Western Europe,Germany,2015,56563,69.22595837
Europe,Western Europe,Liechtenstein,2015,8,21.38865866
Europe,Western Europe,Netherlands,2015,35921,212.0671967
Europe,Western Europe,Switzerland,2015,6322,75.98768668
Oceania,Australia and New Zealand,Australia,2015,46543,195.5624718
Africa,Eastern Africa,Kenya,2016,425,0.876517237
Africa,Western Africa,Senegal,2016,7,0.045390809
Americas,Caribbean,Barbados,2016,106,37.20877987
Americas,Caribbean,Dominican Republic,2016,5455,51.24764867
Americas,Caribbean,Puerto Rico,2016,3788,103.2404135
Americas,Central America,Belize,2016,105,28.60806246
Americas,Central America,Guatemala,2016,2708,16.32889196
Americas,Central America,Honduras,2016,98,1.075444447
Americas,Central America,Mexico,2016,115468,90.57253733
Americas,Central America,Panama,2016,879,21.79376955
Americas,Northern America,Bermuda,2016,770,1247.412025
Americas,Northern America,Canada,2016,78710,216.9490486
Americas,Northern America,United States of America,2016,765500,237.5634991
Americas,South America,Chile,2016,29785,166.3532029
Americas,South America,Colombia,2016,39388,81.00019338
Americas,South America,Guyana,2016,54,6.986069777
Americas,South America,Peru,2016,17544,55.23272348
Americas,South America,Uruguay,2016,15741,457.0396652
Asia,Central Asia,Kyrgyzstan,2016,245,4.115802349
Asia,Eastern Asia,Japan,2016,35959,28.1635766
Asia,Eastern Asia,Macao Special Administrative Region of China,2016,185,30.27161328
Asia,Eastern Asia,Mongolia,2016,404,13.36252803
Asia,Eastern Asia,Republic of Korea,2016,3501,6.894945953
Asia,South-Eastern Asia,Indonesia,2016,37871,14.51139127
Asia,South-Eastern Asia,Myanmar,2016,1336,2.526255395
Asia,South-Eastern Asia,Philippines,2016,9334,9.034613682
Asia,South-Eastern Asia,Singapore,2016,165,2.938447747
Asia,South-Eastern Asia,Thailand,2016,5723,8.317316891
Asia,Southern Asia,Pakistan,2016,23813,12.32704515
Asia,Southern Asia,Sri Lanka,2016,1241,5.969778777
Asia,Western Asia,Armenia,2016,49,1.677335203
Asia,Western Asia,Azerbaijan,2016,252,2.594208849
Asia,Western Asia,Cyprus,2016,989,84.51139426
Asia,Western Asia,United Arab Emirates,2016,750,8.076606375
Europe,Eastern Europe,Bulgaria,2016,3210,45.02092421
Europe,Eastern Europe,Czech Republic,2016,8734,82.32091986
